feature,total_score,mean_rank,selection_count
OBV,127234831.63241996,17.571428571428573,7
VOLUME_SMA_20,55950.92291557959,32.142857142857146,7
WILLIAMS_R,5996.124816074035,7.285714285714286,7
EMA_12,3481.122967105968,21.285714285714285,7
EMA_26,3079.258118241501,23.857142857142858,7
EMA_50,2940.5274453201387,23.142857142857142,7
SMA_5,1895.6491638922912,20.714285714285715,7
BB_Lower,1053.3543279894477,30.285714285714285,7
BB_Middle,772.5751694895796,32.142857142857146,7
SMA_20,772.5520784549816,38.57142857142857,7
BB_Upper,579.0516052054139,27.0,7
Price_vs_EMA12,571.2813954775112,4.285714285714286,7
RSI,427.89063879664894,13.428571428571429,7
log_returns,396.3127623054594,11.857142857142858,7
Price_above_SMA20,377.78816843337006,23.285714285714285,7
returns_1d,354.10285493174143,11.571428571428571,7
PRICE_POSITION_14,344.3150840930025,15.714285714285714,7
MACD_Histogram,332.1318462502821,16.571428571428573,7
MACD_Signal_Cross,322.6813909360629,25.571428571428573,7
SMA_10,308.39318209782806,25.857142857142858,7
MACD,277.1971123800772,20.571428571428573,7
Price_vs_SMA20,249.69298788175865,12.571428571428571,7
BB_PercentB,152.9875112625141,8.857142857142858,7
ROC_5,95.61580521224609,16.857142857142858,7
ROC_10,89.32677665195409,13.857142857142858,7
ROC_20,62.503567575782625,23.0,7
ATR,47.03958393707737,27.0,7
dividends,38.92999641574534,36.0,7
returns_3d,26.835652553246796,18.714285714285715,7
ensemble_score_count,17.098597483009286,29.571428571428573,7
volatility,15.056607621660428,22.142857142857142,7
returns_2d,14.540709629663615,23.0,7
MACD_Signal,6.308357407412336,20.0,7
ensemble_score_mean,5.145433849708949,27.285714285714285,7
VOLATILITY_5,5.049124854885198,19.142857142857142,7
stock splits,3.216110125119361,38.42857142857143,7
sentiment_lag1,2.7629089946277805,36.142857142857146,7
VOLUME_RATIO,2.3049565737619795,30.0,7
SMA10_above_SMA20,2.1527952041494722,30.428571428571427,7
VOLATILITY_10,1.8666305754568675,33.0,7
SMA5_above_SMA20,0.9146491040417982,33.857142857142854,7
BB_Width,0.3726047111508455,28.285714285714285,7
confidence_mean,0.31662239341687626,33.42857142857143,7
relevance_score_mean,0.19587235952908044,38.57142857142857,7
ensemble_score_std,0.16850223940972325,28.857142857142858,7
VOLATILITY_20,0.1190325486539754,32.285714285714285,7
sentiment_lag2,0.06670778117214712,34.142857142857146,7
RSI_Oversold,0.014542544901547494,46.57142857142857,7
RSI_Overbought,0.008538149707697507,48.0,7
Price_vs_SMA50,2.8427959552297618e-33,46.714285714285715,7
SMA_50,2.8427959552297618e-33,46.57142857142857,7
