feature,total_score,mean_score,selection_count,mean_rank,best_rank,rank_std,consensus_rank
BB_Width,17.632,0.3093,57,5.2456,1,3.8092,1
ensemble_score_std,22.5522,0.41,55,3.9455,1,2.9213,2
OBV,19.779,0.3804,52,6.9231,1,6.9278,3
ensemble_score_mean,21.807,0.4956,44,4.9318,1,4.5001,4
SMA_Ratio_5_20,9.5281,0.2165,44,6.7955,2,4.9489,5
SMA_Ratio_20_50,9.8778,0.2822,35,8.4857,1,6.4824,6
ATR_Normalized,9.1197,0.2606,35,8.2571,1,5.8829,7
MACD_Histogram,5.8644,0.1777,33,9.6667,1,5.8772,8
PRICE_POSITION,5.0491,0.1578,32,12.0312,2,8.6303,9
Close_Position,2.7831,0.0928,30,15.2,5,9.1967,10
Price_vs_SMA50,5.1904,0.179,29,9.7931,2,7.0932,11
VOLUME_SMA_20,3.3785,0.1207,28,12.8214,3,6.891,12
High_Low_Ratio,6.7228,0.249,27,13.0741,1,9.5874,13
ROC_20,4.0981,0.1518,27,13.2963,3,9.9762,14
BB_PercentB,3.1089,0.1151,27,10.2222,4,4.8859,15
Price_Volume_Correlation,1.756,0.065,27,18.4074,9,8.5901,16
relevance_score_mean,8.9243,0.3718,24,5.875,1,5.8333,17
ATR,2.8628,0.1193,24,11.75,4,6.5889,18
MACD,3.2562,0.1416,23,9.9565,4,6.1679,19
RSI,3.697,0.168,22,9.2727,2,6.8465,20
sentiment_lag2,2.7593,0.1314,21,9.2857,4,3.9005,21
MACD_Signal,1.8578,0.0929,20,13.35,4,5.3732,22
Volume_Price_Trend,5.8456,0.3077,19,16.6316,1,12.7681,23
DOJI,3.5268,0.1856,19,15.1053,2,13.9956,24
VOLATILITY_10,1.453,0.0765,19,16.3158,7,7.454,25
ROC_5,1.4348,0.0755,19,15.3684,7,6.7841,26
VOLATILITY_5,1.1974,0.063,19,17.0,12,5.2175,27
VOLUME_RATIO,1.5328,0.0902,17,14.2941,6,7.7198,28
VOLATILITY_20,1.5772,0.1051,15,14.4667,5,8.8307,29
BB_Upper,1.9973,0.1427,14,10.5714,4,6.745,30
RSI_Oversold,1.4155,0.1011,14,13.7143,5,9.762,31
SHOOTING_STAR,1.0734,0.0767,14,17.7857,5,10.8144,32
MACD_Bullish,0.8092,0.0578,14,21.0,9,11.2318,33
EMA_12,1.8667,0.1436,13,8.8462,5,5.6693,34
BB_Lower,1.3829,0.1064,13,13.6154,4,6.3971,35
SMA5_above_SMA20,0.9046,0.0696,13,18.7692,9,11.2187,36
SMA_50,0.8946,0.0688,13,15.2308,11,3.4678,37
sentiment_lag1,1.9195,0.16,12,10.9167,3,7.9253,38
confidence_mean,1.8232,0.1519,12,12.0,3,8.0114,39
Price_vs_SMA20,0.8585,0.0715,12,16.0,10,6.2813,40
ROC_10,0.8453,0.0704,12,16.5833,11,8.0505,41
SMA_10,5.7778,0.5253,11,5.9091,1,6.4258,42
ensemble_score_count,1.4891,0.1489,10,11.6,3,6.7856,43
SMA_5,1.3176,0.1318,10,10.4,5,5.7388,44
RSI_Overbought,0.7893,0.0789,10,21.1,7,14.5713,45
EMA_26,0.7506,0.0751,10,14.8,10,5.2662,46
MOMENTUM_10,0.5461,0.0546,10,21.1,12,8.6081,47
Price_above_SMA20,0.4522,0.0502,9,24.0,13,11.3468,48
EMA_50,0.5341,0.0668,8,16.875,11,6.0578,49
BB_Middle,0.6538,0.109,6,9.6667,8,2.582,50
SMA_20,0.5497,0.0916,6,12.3333,9,5.164,51
BB_Squeeze,0.1994,0.0332,6,32.6667,22,10.5578,52
ENGULFING_BEAR,0.1353,0.0338,4,32.5,21,11.2101,53
ENGULFING_BULL,0.0906,0.0302,3,35.3333,24,10.0167,54
Price_above_SMA50,0.06,0.03,2,33.5,31,3.5355,55
HAMMER,0.027,0.027,1,37.0,37,,56
