date,nifty_return,magnitude,direction,top_driver,top_contribution,top_impact_pct
2025-02-04,0.016189340804458663,0.016189340804458663,Up,NIFTYBANK,0.00673818927039016,41.62114660366167
2025-02-11,-0.013249734834228644,0.013249734834228644,Down,NIFTYBANK,-0.0040447370000600055,30.52692790206678
2025-02-28,-0.01864489100711675,0.01864489100711675,Down,NIFTYIT,-0.007525756387263081,40.36363840577294
2025-03-18,0.014463264286110888,0.014463264286110888,Up,NIFTYBANK,0.006951264782857269,48.061520866576345
2025-04-01,-0.015036555006834651,0.015036555006834651,Down,NIFTYBANK,-0.005004814326037987,33.2843149495554
2025-04-04,-0.014866602724289302,0.014866602724289302,Down,NIFTYIT,-0.006451977644951769,43.39913943089648
2025-04-07,-0.03243256223135693,0.03243256223135693,Down,NIFTYBANK,-0.011162715741116484,34.41823578873451
2025-04-08,0.0168873186051548,0.0168873186051548,Up,NIFTYBANK,0.004569084297865466,27.05630422861074
2025-04-11,0.0191703703042303,0.0191703703042303,Up,NIFTYBANK,0.005309896566789662,27.698455911505963
2025-04-15,0.021902398531663314,0.021902398531663314,Up,NIFTYBANK,0.009450593943220242,43.148671272499875
2025-04-17,0.017683426347857356,0.017683426347857356,Up,NIFTYBANK,0.007725430764669072,43.68740883525176
2025-05-12,0.038183105631456105,0.038183105631456105,Up,NIFTYIT,0.012052391158330145,31.564722038746666
2025-05-13,-0.013895854313191403,0.013895854313191403,Down,NIFTYIT,-0.004363110607835696,31.398649622382507
2025-05-15,0.016021470067175025,0.016021470067175025,Up,NIFTYBANK,0.0035401532445397564,22.09630720337495
