Symbol,Company_Name,MoneyControl_sc_id,url
HDFCBANK.NS," HDFC Bank,  HDFCBANK,  HDFC,  HDFC BANK, ",HDF01,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=HDF01&durationType=Y&Year=2025
ICICIBANK.NS," ICICI Bank,  ICICIBANK,  ICICI,  ICICI BANK, ",ICI02,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=ICI02&durationType=Y&Year=2025
SBIN.NS," State Bank of India,  SBI,  SBIN,  State Bank, ",SBI,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=SBI&durationType=Y&Year=2025
KOTAKBANK.NS," Kotak Mahindra Bank,  Kotak Bank,  KOTAKBANK,  Kotak, ",KMF,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=KMF&durationType=Y&Year=2025
TCS.NS," Tata Consultancy Services,  TCS,  Tata Consultancy, ",TCS,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=TCS&durationType=Y&Year=2025 
INFY.NS," Infosys,  INFY,  Infosys Limited, ",IT,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=IT&durationType=Y&Year=2025
HCLTECH.NS," HCL Technologies,  HCL Tech,  HCLTECH,  HCL, ",HCL02,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=HCL02&durationType=Y&Year=2025
WIPRO.NS," Wipro,  WIPRO,  Wipro Limited, ",W,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=W&durationType=Y&Year=2025
RELIANCE.NS," Reliance Industries,  RIL,  Jio,  Reliance Retail,  Ajio ,  Reliance,  RELIANCE, ",RI,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=RI&durationType=Y&Year=2025
ONGC.NS," Oil and Natural Gas Corporation,  ONGC,  Oil India, ",ONG,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=ONG&durationType=Y&Year=2025
BPCL.NS," Bharat Petroleum,  BPCL,  Bharat Petroleum Corporation, ",BPC,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=BPC&durationType=Y&Year=2025
ITC.NS," ITC Limited,  ITC,  Indian Tobacco Company, ",ITC,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=ITC&durationType=Y&Year=2025
HINDUNILVR.NS," Hindustan Unilever,  HUL,  HINDUNILVR,  Hindustan Unilever Limited, ",HL,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=HL&durationType=Y&Year=2025
NESTLEIND.NS," Nestle India,  Nestle,  NESTLEIND, ",NI,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=NI&durationType=Y&Year=2025
MARUTI.NS," Maruti Suzuki,  Maruti,  MARUTI,  Maruti Suzuki India, ",MU01,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=MU01&durationType=Y&Year=2025
M&M.NS," Mahindra & Mahindra,  M&M,  Mahindra,  Mahindra and Mahindra, ",MM,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=MM&durationType=Y&Year=2025
TATAMOTORS.NS," Tata Motors,  TATAMOTORS,  Tata Motors Limited, ",TEL,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=TEL&durationType=Y&Year=2025
HAL.NS," Hindustan Aeronautics,  HAL,  Hindustan Aeronautics Limited, ",HAL,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=HAL&durationType=Y&Year=2025
BEL.NS," Bharat Electronics,  BEL,  Bharat Electronics Limited, ",BE03,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=BE03&durationType=Y&Year=2025
BHEL.NS," Bharat Heavy Electricals,  BHEL,  Bharat Heavy Electricals Limited, ",BHE,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=BHE&durationType=Y&Year=2025
COCHINSHIP.NS," Cochin Shipyard,  COCHINSHIP,  Cochin Shipyard Limited, ",CS17,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=CS17&durationType=Y&Year=2025
GRSE.NS," Garden Reach Shipbuilders,  GRSE,  Garden Reach, ",GRS01,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=GRS01&durationType=Y&Year=2025
KALYANKJIL.NS," Kalyan Jewellers,  KALYANKJIL,  Kalyan,  Kalyan Jewellery, ",KJI01,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=KJI01&durationType=Y&Year=2025
TITAN.NS," Titan Company,  Titan,  Tanishq,  Titan Jewellery, ",TI01,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=TI01&durationType=Y&Year=2025
RAJESHEXPO.NS," Rajesh Exports,  RAJESHEXPO,  Rajesh,  Rajesh Exports Limited, ",RE07,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=RE07&durationType=Y&Year=2025
THANGAMAYL.NS," THANGAMAYL Jewellery,  THANGAMAYL,  THANGAMAYL,  THANGAMAYL Limited",TJ,https://www.moneycontrol.com/stocks/company_info/stock_news.php?sc_id=TJ&durationType=Y&Year=2025
